filename,cell_structure,symmetry_number,space_group_name_Hall,space_group_name_H-M,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c
1509569.cif,tetragonal,129,P4/nmm,P4/nmm,90.0,90.0,90.0,3.468,3.468,6.603
1509570.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.246,3.246,12.004
1509571.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,4.566,4.566,3.986
1509572.cif,cubic,204,Im-3,Im-3,90.0,90.0,90.0,9.404,9.404,9.404
1509575.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,5.632,5.632,27.045
1509576.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.537,4.465,8.872
1509578.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,4.296,4.179,9.995
1509582.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.052,4.052,4.052
1509584.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,107.39,90.0,7.382,3.603,12.193
1509586.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.318,4.318,10.737
1509587.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.361,4.361,10.715
1509590.cif,orthorhombic,21,C222,C222,90.0,90.0,90.0,8.612,14.917,19.633
1509593.cif,monoclinic,8,Cm,Cm,90.0,90.0,90.4,11.93,8.81,3.69
1509594.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.293,4.293,10.778
1509597.cif,tetragonal,122,I-42d,I-42d,90.0,90.0,90.0,6.388,6.388,12.597
1509599.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.045,4.045,4.045
1509600.cif,tetragonal,80,I4_1,I4_1,90.0,90.0,90.0,4.998,4.998,36.725
1509602.cif,cubic,224,Pn-3m,Pn-3m,90.0,90.0,90.0,4.91,4.91,4.91
1509603.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,6.05,6.05,6.05
1509606.cif,cubic,224,Pn-3m,Pn-3m,90.0,90.0,90.0,4.98,4.98,4.98
1509607.cif,cubic,224,Pn-3m,Pn-3m,90.0,90.0,90.0,4.94,4.94,4.94
1509608.cif,cubic,224,Pn-3m,Pn-3m,90.0,90.0,90.0,4.93,4.93,4.93
1509609.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.643,6.643,6.643
1509610.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.266,4.266,10.825
1509612.cif,cubic,229,Im-3m,Im-3m,90.0,90.0,90.0,4.91,4.91,4.91
1509613.cif,tetragonal,87,I4/m,I4/m,90.0,90.0,90.0,9.725,9.725,2.885
1509614.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.599,6.599,6.599
1509615.cif,monoclinic,12,C2/m,C2/m,90.0,128.74,90.0,14.51,3.577,9.564
1509616.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,3.978,3.978,3.978
1509617.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.3,12.3,12.3
1509619.cif,triclinic,2,P-1,P-1,78.92,77.61,68.71,12.414,13.476,6.459
1509620.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,9.417,9.417,13.673
1509621.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.287,12.287,12.287
1509622.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,16.533,10.629,10.545
1509623.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.238,12.238,12.238
1509624.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.305,12.305,12.305
1509627.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,22.077,22.077,12.814
1509630.cif,cubic,226,Fm-3c,Fm-3c,90.0,90.0,90.0,13.171,13.171,13.171
1509632.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,14.838,14.838,14.838
1509634.cif,cubic,229,Im-3m,Im-3m,90.0,90.0,90.0,9.784,9.784,9.784
1509635.cif,hexagonal,192,P6/mcc,P6/mcc,90.0,90.0,120.0,12.054,12.054,7.504
1509637.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,11.442,11.442,41.971
1509638.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,14.24,14.209,14.663
1509639.cif,monoclinic,12,C2/m,C2/m,90.0,106.8,90.0,12.725,9.714,10.73
1509640.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,18.717,18.717,18.717
1509642.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.564,6.564,6.564
1509644.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,12.383,12.383,12.383
1509645.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,7.156,7.156,7.156
1509646.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.57,6.57,6.57
1509647.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,7.044,7.044,7.044
1509648.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,7.075,7.075,7.075
1509649.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.71,5.71,5.71
1509650.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.72,6.72,6.72
1509651.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,7.001,7.001,7.001
1509652.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.934,6.934,6.934
1509653.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.896,6.896,6.896
1509654.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.867,6.867,6.867
1509655.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.914,6.914,6.914
1509656.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,20.523,25.118,4.024
1509657.cif,orthorhombic,40,Ama2,Ama2,90.0,90.0,90.0,7.741,19.024,5.694
1509658.cif,tetragonal,121,I-42m,I-42m,90.0,90.0,90.0,6.647,6.647,8.169
1509659.cif,tetragonal,121,I-42m,I-42m,90.0,90.0,90.0,6.886,6.886,8.438
1509660.cif,orthorhombic,40,Ama2,Ama2,90.0,90.0,90.0,7.81,19.004,5.73
1509661.cif,tetragonal,121,I-42m,I-42m,90.0,90.0,90.0,8.732,8.732,7.425
1509662.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.295,4.295,10.64
1509663.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.825,3.825,28.884
1509664.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.846,90.0,11.936,7.801,10.558
1509665.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,9.026,9.026,9.026
1509666.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.045,4.045,4.045
1509667.cif,tetragonal,134,P4_2/nnm,P4_2/nnm,90.0,90.0,90.0,6.055,6.055,6.164
1509668.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.452,6.452,6.452
1509669.cif,triclinic,2,P-1,P-1,107.56,105.11,103.68,6.978,8.715,10.294
1509670.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.998,6.989,5.474
1509672.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.698,10.698,10.698
1509673.cif,triclinic,2,P-1,P-1,106.86,105.84,103.77,7.093,8.878,10.415
1509674.cif,triclinic,2,P-1,P-1,80.78,82.43,72.82,5.432,6.619,16.51
1509675.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,7.923,7.923,7.923
1509676.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,12.219,26.372,6.752
1509679.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.212,4.212,10.69
1509680.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,8.854,8.854,8.854
1509681.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.958,8.063,8.453
1509682.cif,monoclinic,12,C2/m,C2/m,90.0,101.836,90.0,5.049,2.915,8.205
1509683.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,2.919,2.919,24.031
1509685.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,8.642,7.561,12.451
1509686.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,95.443,90.0,8.426,7.49,12.927
1509687.cif,monoclinic,12,C2/m,C2/m,90.0,128.741,90.0,15.48,3.582,9.537
1509688.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,107.663,90.0,5.852,3.467,5.484
1509689.cif,monoclinic,15,C2/c,C2/c,90.0,93.69,90.0,6.082,8.715,6.556
1509690.cif,monoclinic,15,C2/c,C2/c,90.0,93.545,90.0,6.077,8.704,6.553
1509691.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,4.555,3.008,9.898
1509692.cif,orthorhombic,43,Fdd2,Fdd2,90.0,90.0,90.0,12.869,10.49,3.664
1509693.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,120.7,90.0,4.651,7.891,11.173
1509694.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.13,90.0,4.854,10.332,6.956
1509695.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,4.527,7.108,9.959
1509697.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.44,90.0,7.004,10.547,4.917
1509698.cif,orthorhombic,23,I222,I222,90.0,90.0,90.0,7.058,7.263,8.253
1509699.cif,monoclinic,15,C2/c,C2/c,90.0,101.95,90.0,16.813,7.612,5.054
1509700.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,5.796,12.667,10.224
1509701.cif,monoclinic,7,Pc,Pc,90.0,89.562,90.0,6.973,5.497,5.42
1509703.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,7.743,7.743,10.5
1509704.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.0,90.0,7.739,13.611,6.294
1509706.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.235,4.235,10.68
1509708.cif,monoclinic,4,P2_1,P2_1,90.0,125.26,90.0,4.2,6.86,9.7
1509710.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,129.48,90.0,4.231,6.93,9.526
1509712.cif,monoclinic,9,Cc,Cc,90.0,114.44,90.0,6.783,11.567,7.693
1509714.cif,orthorhombic,17,P222_1,P222_1,90.0,90.0,90.0,7.05,7.85,4.33
1509715.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,8.785,8.785,8.785
1509716.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.169,4.169,10.69
1509717.cif,orthorhombic,23,I222,I222,90.0,90.0,90.0,7.127,8.117,6.854
1509718.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.13,4.13,10.722
1509719.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.14,4.14,10.89
1509720.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.817,7.71,8.263
1509721.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,9.962,9.962,18.61
1509722.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.709,3.709,9.251
1509723.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.576,6.576,6.576
1509725.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.652,3.652,9.14
1509726.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.671,7.204,8.178
1509727.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.663,7.211,8.184
1509728.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,8.219,8.219,4.218
1509729.cif,monoclinic,15,C2/c,C2/c,90.0,108.29,90.0,6.364,10.975,13.999
1509731.cif,trigonal,166,R-3m,R-3m,94.2,94.2,94.2,9.42,9.42,9.42
1509732.cif,monoclinic,12,C2/m,C2/m,90.0,103.32,90.0,13.299,4.07,20.209
1509733.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,8.613,14.927,19.639
1509734.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,5.555,5.555,26.384
1509735.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.17,4.17,4.17
1509739.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,4.331,12.671,10.014
1509741.cif,orthorhombic,44,Imm2,Imm2,90.0,90.0,90.0,12.795,4.263,5.821
1509742.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,4.328,12.86,9.709
1509743.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,14.725,14.725,14.725
1509744.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,93.95,90.0,23.857,5.3,6.566
1509745.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.137,12.137,12.137
1509747.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.167,4.167,4.167
1509748.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.073,4.073,4.073
1509749.cif,cubic,229,Im-3m,Im-3m,90.0,90.0,90.0,4.993,4.993,4.993
1509751.cif,trigonal,161,R3c,R3c,90.0,90.0,120.0,10.913,10.913,8.762
1509752.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.766,90.0,13.352,8.105,6.916
1509754.cif,monoclinic,8,Cm,Cm,90.0,90.0,104.5,18.33,8.09,3.6
1509755.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,8.818,8.818,16.862
1509757.cif,cubic,203,Fd-3,Fd-3,90.0,90.0,90.0,24.947,24.947,24.947
1509759.cif,monoclinic,5,C2,C2,90.0,103.9,90.0,16.76,15.52,11.81
1509760.cif,cubic,203,Fd-3,Fd-3,90.0,90.0,90.0,24.758,24.758,24.758
1509761.cif,orthorhombic,34,Pnn2,Pnn2,90.0,90.0,90.0,5.983,6.324,9.576
1509762.cif,orthorhombic,52,Pnna,Pnna,90.0,90.0,90.0,5.975,6.311,9.563
1509763.cif,monoclinic,7,Pc,Pc,90.0,92.482,90.0,5.955,6.31,9.581
1509764.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.817,5.817,5.817
1509765.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.817,5.817,5.817
1509766.cif,triclinic,2,P-1,P-1,89.8,74.8,87.81,10.85,7.172,11.376
1509767.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,5.614,5.614,26.788
1509768.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,117.336,90.0,9.384,15.383,9.521
1509770.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.639,6.639,6.639
1509771.cif,orthorhombic,36,Cmc2_1,Cmc2_1,90.0,90.0,90.0,4.264,7.317,6.985
1509772.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.3,4.3,10.98
1509773.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,7.108,7.108,7.108
1509774.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,5.567,5.567,26.382
1509775.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.247,4.247,10.64
1509776.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,8.954,8.954,8.954
1509777.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,147.01,90.0,12.411,17.99,14.785
1509778.cif,orthorhombic,64,Cmce,Cmce,90.0,90.0,90.0,10.088,8.051,8.078
1509779.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,7.222,7.222,10.824
1509780.cif,triclinic,2,P-1,P-1,107.67,105.28,103.87,6.989,8.738,10.295
1509781.cif,triclinic,2,P-1,P-1,80.83,81.45,72.87,5.351,6.375,16.532
1509782.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.063,7.029,5.54
1509783.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,12.599,12.607,14.067
1509784.cif,tetragonal,141,I4_1/amd,I4_1/amd,90.0,90.0,90.0,5.898,5.898,10.714
1509785.cif,tetragonal,141,I4_1/amd,I4_1/amd,90.0,90.0,90.0,5.886,5.886,10.687
1509786.cif,monoclinic,12,C2/m,C2/m,90.0,107.922,90.0,6.054,2.8,5.851
1509788.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.683,3.683,9.188
1509789.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.87,6.87,6.87
1509790.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.91,6.91,6.91
1509791.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.668,3.668,9.159
1509792.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.882,6.882,6.882
1509793.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.753,7.488,8.164
1509794.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,4.785,7.534,8.215
1509795.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.309,4.309,10.49
1509796.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,8.461,8.461,4.515
1509797.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,8.42,14.585,17.864
1509799.cif,orthorhombic,46,Ima2,Ima2,90.0,90.0,90.0,7.42,7.68,10.46
1509800.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,97.5,90.0,7.857,11.192,10.177
1509801.cif,triclinic,2,P-1,P-1,90.05,106.54,90.18,4.999,11.087,7.357
1509802.cif,monoclinic,15,C2/c,C2/c,90.0,114.532,90.0,12.147,12.733,6.5
1509803.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.572,10.572,10.572
1509804.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.743,3.743,9.352
1509805.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.965,6.965,6.965
1509806.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.151,4.151,10.709
1509807.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,8.025,6.868,6.596
1509808.cif,monoclinic,9,Cc,Cc,90.0,109.5,90.0,12.692,7.492,12.644
1509809.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.326,6.326,6.326
1509810.cif,monoclinic,7,Pc,Pc,90.0,89.754,90.0,7.125,5.609,5.5
1509811.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,94.6,90.0,11.013,10.063,12.219
1509812.cif,tetragonal,134,P4_2/nnm,P4_2/nnm,90.0,90.0,90.0,6.169,6.169,6.213
1509813.cif,orthorhombic,64,Cmce,Cmce,90.0,90.0,90.0,11.458,6.628,12.774
1509814.cif,orthorhombic,36,Cmc2_1,Cmc2_1,90.0,90.0,90.0,13.844,7.47,7.103
1509815.cif,triclinic,2,P-1,P-1,110.113,96.327,100.665,13.187,20.983,21.924
1509816.cif,tetragonal,82,I-4,I-4,90.0,90.0,90.0,6.317,6.317,12.633
1509817.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,6.35,6.35,6.35
1509818.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,8.461,7.34,6.99
1509819.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.669,3.669,9.156
1509820.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,6.893,6.893,6.893
1509825.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,7.801,6.973,6.567
1509826.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.125,4.125,4.125
1509828.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.142,4.142,4.142
1509829.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,10.777,10.777,10.777
1509830.cif,cubic,229,Im-3m,Im-3m,90.0,90.0,90.0,4.966,4.966,4.966
1509832.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.102,4.102,4.102
1509833.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.086,4.086,4.086
1509834.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,11.91,13.614,11.679
1509835.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.12,4.12,4.12
1509836.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.13,4.13,4.13
1509837.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.083,4.083,4.083
1509838.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.107,4.107,4.107
1509839.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.134,4.134,4.134
1509840.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.112,4.112,4.112
1509841.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.12,4.12,4.12
1509842.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.122,4.122,4.122
1509843.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.128,4.128,4.128
1509844.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.097,4.097,4.097
1509845.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,8.111,11.344,20.728
1509846.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.099,4.099,4.099
1509847.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.09,4.09,4.09
1509849.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,10.478,10.478,10.478
1509850.cif,tetragonal,125,P4/nbm,P4/nbm,90.0,90.0,90.0,5.991,5.991,10.918
1509851.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.097,4.097,4.097
1509852.cif,cubic,213,P4_132,P4_132,90.0,90.0,90.0,10.801,10.801,10.801
1509853.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.101,4.101,4.101
1509854.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.076,4.076,4.076
1509855.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.087,4.087,4.087
1509856.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,19.21,16.867,6.349
1509857.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.101,4.101,4.101
1509858.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.087,4.087,4.087
1509860.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.091,4.091,4.091
1509861.cif,cubic,213,P4_132,P4_132,90.0,90.0,90.0,11.158,11.158,11.158
1509867.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.088,4.088,4.088
1509868.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.089,4.089,4.089
1509869.cif,orthorhombic,52,Pnna,Pnna,90.0,90.0,90.0,14.283,5.692,8.777
1509870.cif,monoclinic,9,Cc,Cc,90.0,93.589,90.0,17.436,6.833,10.535
1509873.cif,monoclinic,9,Cc,Cc,90.0,93.398,90.0,17.455,6.809,10.534
1509874.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,6.19,6.19,6.19
1509876.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,9.351,13.155,7.087
1509877.cif,cubic,212,P4_332,P4_332,90.0,90.0,90.0,11.19,11.19,11.19
1509878.cif,trigonal,155,R32,R32,90.1,90.1,90.1,11.17,11.17,11.17
1509880.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,98.984,90.0,7.223,23.649,7.568
1509881.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,98.678,90.0,7.184,23.77,7.592
1509882.cif,monoclinic,12,C2/m,C2/m,90.0,108.32,90.0,17.36,4.296,11.603
1509883.cif,monoclinic,12,C2/m,C2/m,90.0,108.4,90.0,17.77,4.447,11.856
1509884.cif,cubic,214,I4_132,I4_132,90.0,90.0,90.0,9.95,9.95,9.95
1509887.cif,cubic,212,P4_332,P4_332,90.0,90.0,90.0,8.96,8.96,8.96
1509888.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,98.52,90.0,7.205,24.011,7.534
1509889.cif,tetragonal,86,P4_2/n,P4_2/n,90.0,90.0,90.0,7.317,7.317,4.96
1509890.cif,cubic,214,I4_132,I4_132,90.0,90.0,90.0,10.39,10.39,10.39
1509891.cif,cubic,212,P4_332,P4_332,90.0,90.0,90.0,10.943,10.943,10.943
1509893.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.344,12.344,12.344
1509894.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,9.878,9.878,13.512
1509895.cif,cubic,217,I-43m,I-43m,90.0,90.0,90.0,10.61,10.61,10.61
1509896.cif,orthorhombic,18,P2_12_12,P2_12_12,90.0,90.0,90.0,17.43,12.24,4.35
1509898.cif,monoclinic,12,C2/m,C2/m,90.0,93.0,90.0,13.515,4.098,26.0
1509899.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,12.282,12.282,12.282
1509900.cif,hexagonal,189,P-62m,P-62m,90.0,90.0,120.0,20.089,20.089,7.718
1509903.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,13.0,19.17,4.246
1509904.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,7.635,7.635,10.798
1509905.cif,trigonal,155,R32,R32,90.0,90.0,120.0,9.873,9.873,3.381
1509906.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,5.63,5.63,33.45
1509910.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.49,90.0,5.855,8.984,12.457
1509912.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,9.708,9.708,7.771
1509914.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,10.84,10.84,10.84
1509915.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,9.755,9.755,7.83
1509916.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.6,90.0,19.359,7.713,19.533
1509917.cif,orthorhombic,38,Amm2,Amm2,90.0,90.0,90.0,7.409,11.143,6.258
1509918.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,14.083,14.083,4.41
1509919.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,14.672,14.672,4.601
1509921.cif,tetragonal,80,I4_1,I4_1,90.0,90.0,90.0,14.192,14.192,8.8
1509922.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.391,90.0,6.369,9.91,9.232
1509923.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.937,5.937,32.147
1509926.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,108.48,90.0,12.778,14.669,13.426
1509927.cif,tetragonal,125,P4/nbm,P4/nbm,90.0,90.0,90.0,6.081,6.081,11.112
1509928.cif,orthorhombic,21,C222,C222,90.0,90.0,90.0,8.48,14.69,18.4
1509932.cif,monoclinic,15,C2/c,C2/c,90.0,129.4,90.0,21.663,21.639,16.572
